,Ratings,Comments_Title,Actual_Comment,Review_Date_place,Verified_or_Not?,Product_Color
10,4.0 out of 5 stars,Review after 1 year of using,"I am writing this review after using the product for one year. The sound quality is nice, battery life is good. The problems are it doesn't come with noise cancellation so it's not recommend using in public or any surrounding with high noise. It good product for listening music and stuff. One of the airbuds broken , it just ripped in to two pieces the build quality can be better.",Reviewed in India on 25 November 2024,Verified Purchase,Colour: Bold Black
11,4.0 out of 5 stars,"Good for Everyday Use, But Connectivity Issues with Mac/iPhone","The earbuds offer good sound quality for normal usage, but they frequently disconnect with Mac and iPhone devices, while working fine with Android. They also support only one Bluetooth connection at a time. If you enjoy high-quality music, the bass is not very pronounced, making them less ideal for audiophiles",Reviewed in India on 28 November 2024,Verified Purchase,Colour: Bold Black
12,4.0 out of 5 stars,Happy with this product,"I bought these earbuds a few days ago and I really liked them. Their sound quality and comfort impressed me.

Sound Quality:- Their sound quality is absolutely good, a little above average, the base is clear, according to me it should be a little more powerful and the treble is also very clear

At last this product is value for money product",Reviewed in India on 25 November 2024,Verified Purchase,Colour: Bold Black
13,4.0 out of 5 stars,1 year,Working fine after 1 year same quality of sound.,Reviewed in India on 16 December 2024,Verified Purchase,Colour: Bold Black
14,4.0 out of 5 stars,Good,After 6 7 months Buds charging stops,Reviewed in India on 14 December 2024,Verified Purchase,Colour: Bold Black
15,4.0 out of 5 stars,Medium,Average,Reviewed in India on 22 December 2024,Verified Purchase,Colour: Cider Cyan
16,4.0 out of 5 stars,Nice product.,Nice built quality and sound quality.,Reviewed in India on 11 December 2024,Verified Purchase,Colour: Cider Cyan
17,4.0 out of 5 stars,Nice one,"Good one.. Long time durable, comfortable",Reviewed in India on 11 December 2024,Verified Purchase,Colour: Bold Black
18,4.0 out of 5 stars,Super but color issue,Idont like this color,Reviewed in India on 12 December 2024,Verified Purchase,Colour: Pure White
19,4.0 out of 5 stars,Good,Nice product good product,Reviewed in India on 11 December 2024,Verified Purchase,Colour: Bold Black
20,4.0 out of 5 stars,Good produced,Very good produced,Reviewed in India on 9 December 2024,Verified Purchase,Colour: Bold Black
21,4.0 out of 5 stars,Nice,Very good product,Reviewed in India on 10 December 2024,Verified Purchase,Colour: Cider Cyan
22,4.0 out of 5 stars,Good product,"Sound quality, functional",Reviewed in India on 7 December 2024,Verified Purchase,Colour: Olive Green
23,4.0 out of 5 stars,Good one,Nice sound quality,Reviewed in India on 8 December 2024,Verified Purchase,Colour: Bold Black
24,4.0 out of 5 stars,Nice,Good,Reviewed in India on 2 December 2024,Verified Purchase,Colour: Bold Black
25,4.0 out of 5 stars,Awesome,Feature and functionality are good,Reviewed in India on 30 November 2024,Verified Purchase,Colour: Pure White
26,3.0 out of 5 stars,ok,"bought with great expectation. after 3 months left side buds battery gets drained much fastrer it falls from 100 to 20 with 10 mins usage. have to manage with right side only.

bought this product keeping in mind brand value boat had created some years back. but m not happy.",Reviewed in India on 17 December 2024,Verified Purchase,Colour: Cider Cyan
27,4.0 out of 5 stars,चागले चालत नाही,हेडफोन्स चालत नाही,Reviewed in India on 29 November 2024,Verified Purchase,Colour: Cider Cyan
28,4.0 out of 5 stars,Nice,Godd voice and comfortable,Reviewed in India on 29 November 2024,Verified Purchase,Colour: Cider Cyan
29,4.0 out of 5 stars,After 3 months,"Battery life good,but microphone and software having issues.",Reviewed in India on 18 November 2024,Verified Purchase,Colour: Bold Black
30,4.0 out of 5 stars,Nice one,Good quality products,Reviewed in India on 24 November 2024,Verified Purchase,Colour: Thunder Blue
31,3.0 out of 5 stars,Bad product overall. Too much cons,"Pros>
Only sound quality is good.
Durable. They're surving after more than a year when they fall atleast once a week from me.

Cons>>>>
Charging speed is slower after 1 year.
Playback time is way less. Earbuds dircharge and starts beeping after 1.5-2 hours of continuous use. Not for binge watching. Their 6 hours claim is false.
Deserves negative rating for microphone quality and Enx noice cancellation... So bad for taking calls as it hears every outside noise and everything but not my voice when I put them on. Had to switch to microphone for a call. You're not heard using these even at your home with a bit of ceiling fan voice... Forget about outdoors lol. Maybe this functions on reverse noice cancellation.
Big and uncomfortable to carry in a pocket but manageable.
Wireless range is poor. Their 10m range claim is false. It doesn't catches signal sometimes from my pocket too.
Not enough features, only single device connectivity at a time.
Stratch prone from day 1.",Reviewed in India on 28 September 2024,Verified Purchase,Colour: Bold Black
32,4.0 out of 5 stars,Very good product,amazing voice,Reviewed in India on 19 November 2024,Verified Purchase,Colour: Bold Black
33,4.0 out of 5 stars,Good,The product I received did not work properly so then i claimed warranty. I got new pair of pods .New are working btr now,Reviewed in India on 8 November 2024,Verified Purchase,Colour: Pure White
34,3.0 out of 5 stars,Working and sound,Left earbud works properly but right one not working correctly. Within small time it is disconnected,Reviewed in India on 8 December 2024,Verified Purchase,Colour: Bold Black
35,4.0 out of 5 stars,Very good,Like it good sound and performance,Reviewed in India on 13 November 2024,Verified Purchase,Colour: Bold Black
36,3.0 out of 5 stars,Touch Sensitivity of the earphones is a big issue,"Everything about the earphone is good, but when u touch the earbud by mistake also the song pauses. U cant even brush ur hair, even with a slight touch the earphone pauses.. This has ro be rectified",Reviewed in India on 7 December 2024,Verified Purchase,Colour: Pure White
37,4.0 out of 5 stars,Good product,Good product,Reviewed in India on 6 November 2024,Verified Purchase,Colour: Bold Black
38,4.0 out of 5 stars,Nice airpods,Budget friendly,Reviewed in India on 17 November 2024,Verified Purchase,Colour: Bold Black
39,4.0 out of 5 stars,Good,Good,Reviewed in India on 16 November 2024,Verified Purchase,Colour: Bold Black
40,4.0 out of 5 stars,Best for listening songs,No mike calling is not that much good,Reviewed in India on 3 November 2024,Verified Purchase,Colour: Cider Cyan
41,4.0 out of 5 stars,.,Ok ok,Reviewed in India on 12 November 2024,Verified Purchase,Colour: Bold Black
42,4.0 out of 5 stars,Thik h,"Sab thik h isme.. but ek problem h jo ki entire model me hi h..
Agr sirf left side ka use kro to kuch der baad disconnect ho jata h",Reviewed in India on 30 October 2024,Verified Purchase,Colour: Cider Cyan
43,4.0 out of 5 stars,NICE. I STRONGLY RECOMMENDED TO OTHERS FOR BUY THIS PRODUCT.,I IMPRESSED,Reviewed in India on 11 November 2024,Verified Purchase,Colour: Pure White
44,4.0 out of 5 stars,Nice product,"It's a good product with good sound , good in this range.",Reviewed in India on 28 October 2024,Verified Purchase,Colour: Bold Black
45,4.0 out of 5 stars,Good,Voice is lightly not clear other than good,Reviewed in India on 1 November 2024,Verified Purchase,Colour: Bold Black
46,3.0 out of 5 stars,Worth it deal,"Totally justified deal- decent sound quality, decent ear grip although in long use little bit hurts, back up is long enough you can binge watch for 4 hrs at least
Although I had it replaced it once under warranty as one ear bud was not charging after some months",Reviewed in India on 24 October 2024,Verified Purchase,Colour: Bold Black
47,3.0 out of 5 stars,God bad,Ears will pain after 1/2 hour useage,Reviewed in India on 17 December 2024,Verified Purchase,Colour: Cider Cyan
48,4.0 out of 5 stars,good,good,Reviewed in India on 14 November 2024,Verified Purchase,Colour: Bold Black
49,3.0 out of 5 stars,Just better not best,"This product quality of listing songs and voice clarity is good, design is good but in term of performance this product is not to much better as they wrote the 48 hrs playback bettry life but I continusely listen the songs and videos within 3 to 4 hrs bettry died.sometime blutooth pairing did not work properly.this product perfectly fit in ear.product is light weight.",Reviewed in India on 12 October 2024,Verified Purchase,Colour: Cider Cyan
50,4.0 out of 5 stars,Good,Nice,Reviewed in India on 13 November 2024,Verified Purchase,Colour: Bold Black
51,4.0 out of 5 stars,Good,Noise cancellation work good but outside sometimes not able to talk on call,Reviewed in India on 30 October 2024,Verified Purchase,Colour: Bold Black
52,4.0 out of 5 stars,Boat,Nice product and battery back up awesome.,Reviewed in India on 3 November 2024,Verified Purchase,Colour: Bold Black
53,3.0 out of 5 stars,Painful,Pain in the ear...,Reviewed in India on 13 December 2024,Verified Purchase,Colour: Bold Black
54,4.0 out of 5 stars,Good earbuds in budget,"Earbuds are good if you are searching for budget friendly earbuds. Sound quality is also good in this price. It can easily fit in your pocket. Design is also good.
But if you want to you it for long hours then your ears might hurt.
Comfortable for short time use.
I am using this for more than a year. Working good. They have very good battery life. My earbuds work atleast for 2-3 days as I use them continuously.
Over all good earbuds in this price.",Reviewed in India on 5 October 2024,Verified Purchase,Colour: Bold Black
55,4.0 out of 5 stars,Sound was good,Batteries was good.charging case was slightly bigger. But earpiece was light weight and comfort.functions are ok.,Reviewed in India on 8 November 2024,Verified Purchase,Colour: Bold Black
56,4.0 out of 5 stars,Impressive and excellent,"I am writing this review after around 3 years of use
Comfort : sometimes it slides from the ear but fits good
Sound quality: excellent in this price range (I bought it for 899 )
Quality: still looks like the new one after three years.
Battery: runs nearby which company promised around 30 hours and 2 to 3 hours buds out of the case.
Design: perfect",Reviewed in India on 19 September 2024,Verified Purchase,Colour: Bold Black
57,4.0 out of 5 stars,Sound and beast mode is great,,Reviewed in India on 15 November 2024,Verified Purchase,Colour: Bold Black
58,3.0 out of 5 stars,Good,One earpiece takes time to start. Mine is the left as usual,Reviewed in India on 15 November 2024,Verified Purchase,Colour: Bold Black
59,4.0 out of 5 stars,Good,Not for journeys use only we use at home,Reviewed in India on 13 October 2024,Verified Purchase,Colour: Pure White
60,4.0 out of 5 stars,Clear calling,Best ear buds. Perfect sound quality. It's pretty.,Reviewed in India on 7 October 2024,Verified Purchase,Colour: Pure White
61,3.0 out of 5 stars,Just ok,Not bad ok,Reviewed in India on 15 December 2024,Verified Purchase,Colour: Bold Black
62,4.0 out of 5 stars,Review of the product after 1 week,"After 1 week of usage of the boAt airdopes 141
Connectivity and sound is good
Battery backup is also ok
Beast mode is ok
Some time there is some range problem the range is too low when we workout we want always carry out phone
Fit wise it is ok and comfortable
Build quality is very poor because one first day of purchase my airdopes has lot of scratches
Nb if you buy this product please also buy a silicon case
After 16 days connectivity issue and pairing issues showing",Reviewed in India on 7 October 2024,Verified Purchase,Colour: Bold Black
63,4.0 out of 5 stars,Ok,Ok,Reviewed in India on 13 October 2024,Verified Purchase,Colour: Bold Black
64,4.0 out of 5 stars,Happy with boat :) Airpods 141,Bought this in 798😊 very clear and battery is good,Reviewed in India on 11 October 2024,Verified Purchase,Colour: Bold Black
65,4.0 out of 5 stars,Excellent,Good,Reviewed in India on 7 November 2024,Verified Purchase,Colour: Bold Black
66,4.0 out of 5 stars,Nice,Value for money.,Reviewed in India on 13 October 2024,Verified Purchase,Colour: Cider Cyan
67,4.0 out of 5 stars,Average quality.,Clear Sound quality. No bass. Middle sound..,Reviewed in India on 15 October 2024,Verified Purchase,Colour: Bold Black
68,4.0 out of 5 stars,Little bit scratch’s on the cas quality can be improved,Sound was good but can improve connection also good overall good product,Reviewed in India on 4 October 2024,Verified Purchase,Colour: Bold Black
69,4.0 out of 5 stars,Good quality,Good quality product,Reviewed in India on 18 October 2024,Verified Purchase,Colour: Pure White
70,3.0 out of 5 stars,Damaged use product,,Reviewed in India on 13 November 2024,Verified Purchase,Colour: Bold Black
71,4.0 out of 5 stars,👍,Mast👌,Reviewed in India on 9 November 2024,Verified Purchase,Colour: Bold Black
72,4.0 out of 5 stars,Awesome,Ok,Reviewed in India on 13 October 2024,Verified Purchase,Colour: Bold Black
73,4.0 out of 5 stars,Osm product ✨,This product is worth of money 💗👀 go and puchase it soon ✨👍,Reviewed in India on 6 October 2024,Verified Purchase,Colour: Bold Black
74,4.0 out of 5 stars,Excellent,Excellent,Reviewed in India on 14 October 2024,Verified Purchase,Colour: Bold Black
75,4.0 out of 5 stars,Good and Bad,"Too damn best airpodes under this price
But the BUDS CASE is worst it can be easily damaged
Mine is not working properly",Reviewed in India on 3 October 2024,Verified Purchase,Colour: Bold Black
76,4.0 out of 5 stars,No,Don’t go for it. The case hinges are delicate and really waste of money.,Reviewed in India on 24 October 2024,Verified Purchase,Colour: Cider Cyan
77,4.0 out of 5 stars,Quality,"Clarity is top notch no doubt there's one problem that I have seen that's leaving earbuds for a minute then 1 earbuds will become disabled, battery life outstanding 😀 👏.",Reviewed in India on 18 October 2024,Verified Purchase,Colour: Bold Black
78,3.0 out of 5 stars,"sound was good , product lifeline bad","worked good for 6 months, then every month it wanted to see the service station and now when out of warranty its not working",Reviewed in India on 11 November 2024,Verified Purchase,Colour: Cider Cyan
79,4.0 out of 5 stars,Good Quality,Sound and change,Reviewed in India on 15 October 2024,Verified Purchase,Colour: Cider Cyan
80,4.0 out of 5 stars,Wow good product thank you,"Nice
Sound quality, Ease of use , fit , nice design",Reviewed in India on 25 October 2024,Verified Purchase,Colour: Bold Black
81,4.0 out of 5 stars,Nice,Comfort,Reviewed in India on 24 October 2024,Verified Purchase,Colour: Olive Green
82,4.0 out of 5 stars,Ok but could be better,"Could be better, cannot croos the barrier for eg. Simple wall.",Reviewed in India on 28 October 2024,Verified Purchase,Colour: Bold Black
83,4.0 out of 5 stars,Very good like it,But noise cancellation is not good but it's ok in this price range,Reviewed in India on 31 October 2024,Verified Purchase,Colour: Bold Black
84,4.0 out of 5 stars,Listening,Clarity,Reviewed in India on 31 October 2024,Verified Purchase,Colour: Cider Cyan
85,4.0 out of 5 stars,Need replacement of left bud...,Left side bud is not working.need replacement in warranty,Reviewed in India on 28 October 2024,Verified Purchase,Colour: Cider Cyan
86,4.0 out of 5 stars,Writing review after an week,"The airdopes is average not good and bad and sound quality is good, design also not comfortable for me, features is good",Reviewed in India on 6 October 2024,Verified Purchase,Colour: Pure White
87,4.0 out of 5 stars,Good product,Product is good but it's get dirty faster,Reviewed in India on 29 October 2024,Verified Purchase,Colour: Bold Black
88,4.0 out of 5 stars,Best earbud I got for 800 rs,The price is important 800 rs for which I got a good battery backup along with this earbud and cool color support of boat and good quality but mic of the product is not very good as my other earbuds and neckband but for the price I purchased its the best earbud it was delivered on 30th sep and till today I didn't charged it battery backup is awesome 💯💯 great product,Reviewed in India on 7 October 2024,Verified Purchase,Colour: Cider Cyan
89,4.0 out of 5 stars,Good at price,The product is good at the price which I purchased 👍 i.e. 798Rs.,Reviewed in India on 6 October 2024,Verified Purchase,Colour: Bold Black
90,4.0 out of 5 stars,Boat's airdopes141,It's good in affordable price,Reviewed in India on 1 November 2024,Verified Purchase,Colour: Bold Black
91,4.0 out of 5 stars,Good product,Having nice experience,Reviewed in India on 14 October 2024,Verified Purchase,Colour: Bold Black
92,4.0 out of 5 stars,Product is good for the price range,I have been using them for almost 2 years now and they are still working nice and fine except connectivity issue sometime .,Reviewed in India on 25 October 2024,Verified Purchase,Colour: Cider Cyan
93,4.0 out of 5 stars,Beast mode is best,It is a very good product and all the features are perfectly working. Sound quality is bit low 😞 design is good and fit is nice and it is ease of use . It is a good product in all.....,Reviewed in India on 29 September 2024,Verified Purchase,Colour: Cider Cyan
94,4.0 out of 5 stars,Overall it's a good product.,Better connectivity excellent sound and comfort. Battery seams like little bit less.,Reviewed in India on 12 October 2024,Verified Purchase,Colour: Bold Black
95,4.0 out of 5 stars,Honest review for students,I have,Reviewed in India on 5 November 2024,Verified Purchase,Colour: Bold Black
96,4.0 out of 5 stars,Good,Ki,Reviewed in India on 21 October 2024,Verified Purchase,Colour: Cider Cyan
97,4.0 out of 5 stars,Good product,Enjoy sound 😎,Reviewed in India on 1 November 2024,Verified Purchase,Colour: Bold Black
98,4.0 out of 5 stars,It's ok,Not bad,Reviewed in India on 8 November 2024,Verified Purchase,Colour: Bold Black
